
     Value of States and Choice Probabilities
     Fixed Group Index(f): 0. Random Group Index(r): 0
     ------------------------------------------------------------------------------
    Indx   T   A   m sch   t     r     f       EV      |Choice Probabilities:                           
    1197   3   1   7   7  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1196   3   1   6   7  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1195   3   1   5   7  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1194   3   1   4   7  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1193   3   1   3   7  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1192   3   1   2   7  14     0     0       4.039395 0.665798 0.334202 0.000000 0.000000
    1191   3   1   1   7  14     0     0      18.748342 0.217411 0.782589 0.000000 0.000000
    1190   3   1   0   7  14     0     0       9.003913 0.402221 0.597779 0.000000 0.000000
    1188   3   1   8   6  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1187   3   1   7   6  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1186   3   1   6   6  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1185   3   1   5   6  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1184   3   1   4   6  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1183   3   1   3   6  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1182   3   1   2   6  14     0     0       4.039395 0.665798 0.334202 0.000000 0.000000
    1181   3   1   1   6  14     0     0      18.748342 0.217411 0.782589 0.000000 0.000000
    1180   3   1   0   6  14     0     0       9.003913 0.402221 0.597779 0.000000 0.000000
    1179   3   1   9   5  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1178   3   1   8   5  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1177   3   1   7   5  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1176   3   1   6   5  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1175   3   1   5   5  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1174   3   1   4   5  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1173   3   1   3   5  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1172   3   1   2   5  14     0     0       4.039395 0.665798 0.334202 0.000000 0.000000
    1171   3   1   1   5  14     0     0      18.748342 0.217411 0.782589 0.000000 0.000000
    1170   3   1   0   5  14     0     0       9.003913 0.402221 0.597779 0.000000 0.000000
    1169   3   1   9   4  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1168   3   1   8   4  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1167   3   1   7   4  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1166   3   1   6   4  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1165   3   1   5   4  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1164   3   1   4   4  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1163   3   1   3   4  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1162   3   1   2   4  14     0     0       4.039395 0.665798 0.334202 0.000000 0.000000
    1161   3   1   1   4  14     0     0      18.748342 0.217411 0.782589 0.000000 0.000000
    1160   3   1   0   4  14     0     0       9.003913 0.402221 0.597779 0.000000 0.000000
    1159   3   1   9   3  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1158   3   1   8   3  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1157   3   1   7   3  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1156   3   1   6   3  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1155   3   1   5   3  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1154   3   1   4   3  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1153   3   1   3   3  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1152   3   1   2   3  14     0     0       4.039395 0.665798 0.334202 0.000000 0.000000
    1151   3   1   1   3  14     0     0      18.748342 0.217411 0.782589 0.000000 0.000000
    1150   3   1   0   3  14     0     0       9.003913 0.402221 0.597779 0.000000 0.000000
    1149   3   1   9   2  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1148   3   1   8   2  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1147   3   1   7   2  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1146   3   1   6   2  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1145   3   1   5   2  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1144   3   1   4   2  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1143   3   1   3   2  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1142   3   1   2   2  14     0     0       4.039395 0.665798 0.334202 0.000000 0.000000
    1141   3   1   1   2  14     0     0      18.748342 0.217411 0.782589 0.000000 0.000000
    1140   3   1   0   2  14     0     0       9.003913 0.402221 0.597779 0.000000 0.000000
    1139   3   1   9   1  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1138   3   1   8   1  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1137   3   1   7   1  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1136   3   1   6   1  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1135   3   1   5   1  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1134   3   1   4   1  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1133   3   1   3   1  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1132   3   1   2   1  14     0     0       4.039395 0.665798 0.334202 0.000000 0.000000
    1131   3   1   1   1  14     0     0      18.748342 0.217411 0.782589 0.000000 0.000000
    1130   3   1   0   1  14     0     0       9.003913 0.402221 0.597779 0.000000 0.000000
    1129   3   1   9   0  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
