
     Value of States and Choice Probabilities
     Fixed Group Index(f): 0. Random Group Index(r): 0
     ------------------------------------------------------------------------------
    Indx   T   A   m sch   t     r     f       EV      |Choice Probabilities:                           
   12792   3   1  32   7  39     0     0       1.317944 0.727649 0.272318 0.000033 0.000000
   12791   3   1  31   7  39     0     0       1.326983 0.721144 0.278823 0.000033 0.000000
   12790   3   1  30   7  39     0     0       1.353355 0.702762 0.297206 0.000032 0.000000
   12789   3   1  29   7  39     0     0       1.435719 0.651191 0.348780 0.000030 0.000000
   12788   3   1  28   7  39     0     0       1.728595 0.524239 0.475738 0.000024 0.000000
   12787   3   1  27   7  39     0     0       2.740384 0.322886 0.677100 0.000015 0.000000
   12786   3   1  26   7  39     0     0       5.593101 0.131878 0.868116 0.000006 0.000000
   12785   3   1  25   7  39     0     0      12.361674 0.031587 0.968412 0.000001 0.000000
   12784   3   1  24   7  39     0     0      26.892519 0.002496 0.997504 0.000000 0.000000
   12783   3   1  23   7  39     0     0      56.359695 0.000019 0.999981 0.000000 0.000000
   12782   3   1  22   7  39     0     0     113.494451 0.000000 1.000000 0.000000 0.000000
   12781   3   1  21   7  39     0     0     214.040045 0.000000 1.000000 0.000000 0.000000
   12780   3   1  20   7  39     0     0     339.694198 0.000000 1.000000 0.000000 0.000000
   12779   3   1  19   7  39     0     0     467.076275 0.000000 1.000000 0.000000 0.000000
   12778   3   1  18   7  39     0     0     557.888863 0.000000 1.000000 0.000000 0.000000
   12777   3   1  17   7  39     0     0     608.614912 0.000000 1.000000 0.000000 0.000000
   12776   3   1  16   7  39     0     0     631.107288 0.000000 1.000000 0.000000 0.000000
   12775   3   1  15   7  39     0     0     638.100000 0.000000 1.000000 0.000000 0.000000
   12774   3   1  14   7  39     0     0     638.100000 0.000000 1.000000 0.000000 0.000000
   12773   3   1  13   7  39     0     0     638.100000 0.000000 1.000000 0.000000 0.000000
   12772   3   1  12   7  39     0     0     638.100000 0.000000 1.000000 0.000000 0.000000
   12771   3   1  11   7  39     0     0     638.100000 0.000000 1.000000 0.000000 0.000000
   12770   3   1  10   7  39     0     0     638.100000 0.000000 1.000000 0.000000 0.000000
